latitude,longitude,mag,magType,depth,id,time,place
-6.400804027596077,-50.33658467532582,0.8102262478989168,ML,0.83,1,2022-06-03,Unknown
-6.403518972097937,-50.337566770611325,1.0460217158153888,ML,0.8,2,2022-10-21,Unknown
-6.403518972097937,-50.337566770611325,1.087659711702762,ML,0.8,3,2022-11-08,Unknown
-6.408599345014398,-50.33505550630673,1.1680671889386636,ML,0.79,4,2022-11-11,Unknown
-6.410079362180033,-50.32547779408304,1.1470456462384808,ML,0.79,5,2022-11-30,Unknown
-6.401428522479261,-50.33685513420757,0.7548865872782278,ML,0.79,6,2022-12-13,Unknown
-6.401058295672983,-50.337352930216696,0.8737329153422002,ML,0.8,7,2022-12-22,Unknown
-6.401058295672983,-50.337352930216696,1.0818170283830737,ML,0.8,8,2022-12-29,Unknown
-6.403518972097937,-50.337566770611325,1.1470456462384808,ML,0.8,9,2023-01-13,Unknown
-6.403518972097937,-50.337566770611325,1.1534169175697802,ML,0.8,10,2023-01-20,Unknown
-6.403518972097937,-50.337566770611325,1.1180455380639898,ML,0.8,11,2023-02-22,Unknown
-6.403977527258883,-50.33542317725533,1.1004347161768475,ML,0.79,12,2023-03-03,Unknown
-6.403518972097937,-50.337566770611325,1.1004347161768475,ML,0.8,13,2023-03-07,Unknown
-6.403977527258883,-50.33542317725533,1.1004347161768475,ML,0.79,14,2023-03-31,Unknown
-6.403518972097937,-50.337566770611325,1.1180455380639898,ML,0.8,15,2023-04-07,Unknown
-6.399495454927977,-50.3319477558355,1.1127275283179747,ML,0.79,16,2023-04-14,Unknown
-6.403977527258883,-50.33542317725533,1.1127275283179747,ML,0.79,17,2023-04-14,Unknown
-6.407130441094276,-50.33234473206203,1.1856780108258058,ML,0.8,18,2023-04-21,Unknown
-6.406317774031465,-50.333448941484086,1.1421840505925407,ML,0.78,19,2023-05-18,Unknown
-6.402366695197774,-50.327920262103305,1.1004347161768475,ML,0.78,20,2023-05-28,Unknown
-6.406052082997265,-50.33783477192584,1.148249791275045,ML,0.8,21,2023-05-31,Unknown
